Name,Url,Authority,Started On,Finished On,License Number
NVQ Level 2 on Lean Six Sigma Green Belt - Process Improvement,Eal.org.uk,EAL Awards,Jun 2010,,98209412
NVQ Level 3 on Lean Six Sigma Green Belt - Quality Improvement,Eal.org.uk,EAL Awards,Feb 2011,,98290011
Cyber Security,,The Open University,May 2016,,
Shaping up with Angular.js,https://www.codeschool.com/courses/shaping-up-with-angular-js,CodeSchool,Oct 2016,,
PRINCE2® Foundation and Practitioner 2017 ,,The Knowledge Academy,Nov 2017,,
EU GDPR: Employee Awareness Training,,QA Apprenticeships,May 2018,,
Prevent for Practitioners,http://www.foundationonline.org.uk,The Education and Training Foundation,May 2018,,
Safeguarding in FE 206,http://www.foundationonline.org.uk,The Education and Training Foundation,May 2018,,
Level 2 & 3 Customer Services Diploma,https://newskillsacademy.co.uk/?download_certificate=1&cerf_no=ruftfjb1,New Skills Academy (part of BE-A Education Ltd),Aug 2018,,ruftfjb1
Level 3 Fitness Diploma (Personal Trainer / Fitness Instructor) ,https://newskillsacademy.co.uk/?download_certificate=1&cerf_no=a0t8y1h8,New Skills Academy (part of BE-A Education Ltd),Jul 2018,,a0t8y1h8
Certified Digital Marketing Professional  ,,QA Ltd,Feb 2019,,
Working with Emotional Intelligence,,QA Ltd,Dec 2018,,
Coaching for Results,,QA Ltd,Nov 2018,,
Communicate Effectively,https://www.qa.com/training-courses/business-skills/communication/communicate-effectively,QA Ltd,Jun 2019,,
Manage and Develop Business Relationships,,QA Ltd,Mar 2020,,
Certified Digital Marketing Professional,https://www.credential.net/15f12b3f-407f-4ec1-bcfd-14c2d27f7988,Digital Marketing Institute,Mar 2020,,UK-QA55842
Foundation Certificate in Cyber Security,,APMG International,May 2020,,04332754-01-VIE8
Fundamentals of AWS,https://www.credential.net/18586a3f-57cb-4a81-8742-1b32f15cbc56,"Cloud Academy, Inc.",Jun 2020,,19356382
Learning GIT First-Hand,https://www.credential.net/9a857c89-ad16-450b-9f5a-1756759c7f35,"Cloud Academy, Inc.",Jun 2020,,19361875
Google Cloud Platform Fundamentals,,"Cloud Academy, Inc.",Jun 2020,,21259148
Microsoft Azure Fundamentals,,"Cloud Academy, Inc.",Jul 2020,,21260895
Programming Foundations: Object-Oriented Design,https://www.linkedin.com/learning/certificates/3b88757cf8c17eb6174713e21992790551a4df480ba7e805cdc583acd22b4162?trk=backfilled_certificate,LinkedIn,Jul 2020,,
AZ-900 Exam Preparation: Microsoft Azure Fundamentals,,"Cloud Academy, Inc.",Jul 2020,,21261575
Cyber Security Fundamentals Pathway,,"Cloud Academy, Inc.",Aug 2020,,21263795
ReactJS: Zero to Hero,https://certificates.cloudacademy.com/394c41f50fbf4496a1101e66a39f5bbd9e3b687d.pdf,"Cloud Academy, Inc.",Nov 2020,,21271006
CSS Essential Training,https://www.linkedin.com/learning/certificates/3284d26c217f3ddf34da8e52755b2161abff6169c274999e08d71e78750430ec?trk=backfilled_certificate,LinkedIn,Dec 2020,,
Developing Applications using ReactJS,,QA Ltd,Feb 2021,,QA25022021
Business Writing Essentials,,QA Ltd,Apr 2021,,
Cyber Security Fundamentals Pathway,,QA Ltd,Aug 2020,,
Cyber Security - An Introduction,,QA Ltd,Oct 2019,,
TAP Certificate in Coaching for Performance,www.qa.com,TAP Learning,Nov 2021,,
ISTQB® Certified Tester,www.ukitb.org,ISTQB® - International Software Testing Qualifications Board,Jan 2022,,22-CTFL-201706-12
Developing on AWS,www.qa.com,QA Ltd,Jan 2022,,
BCS Foundation Certificate in Agile,http://www.bcs.org/eCertCheck,"BCS, The Chartered Institute for IT",Feb 2022,,00531391
Leadership Presence,,QA Ltd,Feb 2022,,
BCS Professional Certificate - Software Tester,www.Bcs.org,"BCS, The Chartered Institute for IT",Jul 2022,,00543628
Fundamentals In Coaching Programme,https://www.credly.com/earner/earned/badge/ac56235d-e2ed-4c0f-a6ec-5af1c24eab47,QA Ltd,Nov 2022,,ac56235d-e2ed-4c0f-a6ec-5af1c24eab47
Blue Team Junior Analyst,,Security Blue Team,Aug 2023,,740196934
ILMA Level 3 Understanding Leadership,,City & Guilds,Apr 2025,,88SW-5XDU-4PKA-WHU8-ZXMA
ILMA Level 3 Award in Leadership and Management,,City & Guilds,Sep 2025,,X2K5-GJLN-PTQA-TRKK-H549
Coaching.The Next Level,https://www.credly.com/earner/earned/badge/70a8e9c7-97ab-47fd-8db9-6d7f05d5fef7,QA Ltd,Jul 2025,,70a8e9c7-97ab-47fd-8db9-6d7f05d5fef7
TAP Training Delivery Skills,https://www.credly.com/badges/da40b4ba-ece1-4e2a-b4e2-07d7e8f9511e,QA Ltd,Nov 2025,Nov 2028,
